Start time = 1674614052227;
Timestamp;PPI
1674614902355;635
1674614902957;602
1674614903561;604
1674614904150;589
1674614904732;582
1674614905347;615
1674614905925;578
1674614906499;574
1674614907058;559
1674614907623;565
1674614908186;563
1674614908767;581
1674614909361;594
1674614909972;611
1674614910599;627
1674614911222;623
1674614911860;638
1674614912538;678
1674614913198;660
1674614913870;672
1674614914547;677
1674614915232;685
1674614915934;702
1674614916607;673
1674614917294;687
1674614917984;690
1674614918707;723
1674614919441;734
1674614920149;708
1674614920869;720
1674614921599;730
1674614922314;715
1674614923016;702
1674614923727;711
1674614924437;710
1674614925177;740
1674614925921;744
1674614926657;736
1674614927397;740
1674614928143;746
1674614928900;757
1674614929658;758
1674614930425;767
1674614931201;776
1674614931987;786
1674614932753;766
1674614933524;771
1674614934293;769
1674614935038;745
1674614935794;756
1674614936538;744
1674614937274;736
1674614937977;703
1674614938673;696
1674614939387;714
1674614940099;712
1674614940810;711
1674614941495;685
1674614942206;711
1674614942900;694
1674614943602;702
1674614944325;723
1674614944983;658
1674614945668;685
1674614946356;688
1674614947046;690
1674614947725;679
1674614948401;676
1674614949086;685
1674614949753;667
1674614950435;682
1674614951103;668
1674614951800;697
1674614952487;687
1674614953184;697
1674614953885;701
1674614954604;719
1674614955325;721
1674614956026;701
1674614956749;723
1674614957462;713
1674614958179;717
1674614958879;700
1674614959620;741
1674614960281;661
1674614960949;668
1674614961584;635
1674614962244;660
1674614962872;628
1674614963478;606
1674614964113;635
1674614964741;628
1674614965349;608
1674614965943;594
1674614966537;594
1674614967141;604
1674614967782;641
1674614968466;684
1674614969159;693
1674614969873;714
1674614970576;703
1674614971295;719
1674614972029;734
1674614972750;721
1674614973465;715
1674614974164;699
1674614974857;693
1674614975592;735
1674614976331;739
1674614977081;750
1674614977857;776
1674614978653;796
1674614979441;788
1674614980234;793
1674614981032;798
1674614981832;800
1674614982613;781
1674614983384;771
1674614984093;709
1674614984776;683
1674614985431;655
1674614986088;657
1674614986746;658
1674614987383;637
1674614988017;634
1674614988658;641
1674614989297;639
1674614989935;638
1674614990543;608
1674614991151;608
1674614991764;613
1674614992379;615
1674614993016;637
1674614993654;638
1674614994287;633
1674614994937;650
1674614995595;658
1674614996245;650
1674614996991;746
1674614997808;817
1674614998511;703
1674614998831;320
1674614999436;605
1674615000017;581
1674615001416;1399
1674615002630;1214
1674615003708;1078
1674615004298;590
1674615004911;613
1674615005533;622
1674615006176;643
1674615006855;679
1674615007532;677
1674615008211;679
1674615008884;673
1674615009556;672
1674615010236;680
1674615010907;671
1674615011562;655
1674615012231;669
1674615012896;665
1674615013555;659
1674615014234;679
1674615014879;645
1674615015552;673
1674615016221;669
1674615016877;656
1674615017605;728
1674615018324;719
1674615019018;694
1674615019740;722
1674615020470;730
1674615021253;783
1674615021999;746
1674615022728;729
1674615023453;725
1674615024174;721
1674615024898;724
